https://www.transtats.bts.gov/fuel.asp,,,,,,,,,,
Year,Month,Domestic,,,International,,,Total,,
,,Consumption,Cost,Cost per Gallon,Consumption,Cost,Cost per Gallon,Consumption,Cost,Cost per Gallon
,,(million gallons),(million dollars),(dollars),(million gallons),(million dollars),( dollars),(million gallons),(million dollars),(dollars)
2016,February,824.7,"1,020.90",1.24,419.3,478.9,1.14,"1,244.00","1,499.80",1.21
2016,March,943.9,"1,207.90",1.28,483.2,586.3,1.21,"1,427.10","1,794.20",1.26
2016,April,903.4,"1,201.30",1.33,483.3,639,1.32,"1,386.70","1,840.30",1.33
2016,May,950.5,"1,359.40",1.43,510.8,708.1,1.39,"1,461.30","2,067.50",1.41
2016,June,992.2,"1,778.70",1.79,530,"1,000.80",1.89,"1,522.30","2,779.40",1.83
2016,July,"1,027.60","1,540.60",1.5,559.4,824.7,1.47,"1,587.00","2,365.30",1.49
2016,August,"1,006.70","1,450.80",1.44,546.3,789,1.44,"1,553.00","2,239.80",1.44
2016,September,897.3,"1,327.90",1.48,491.1,695.2,1.42,"1,388.30","2,023.10",1.46
2016,October,919.7,"1,459.80",1.59,482.5,739.2,1.53,"1,402.20","2,199.00",1.57
2016,November,886,"1,286.40",1.45,432.3,607,1.4,"1,318.30","1,893.30",1.44
2016,December,959.6,"1,543.10",1.61,473.7,736,1.55,"1,433.20","2,279.10",1.59
2016 Total,,"11,167.30","16,279.90",1.46,"5,877.30","8,374.10",1.42,"17,044.70","24,654.00",1.45
% Chg over 2015,,3.97%,-16.94%,-20.11%,-1.85%,-25.22%,-23.81%,1.88%,-19.95%,-21.43%
2017,January,882.4,"1,451.90",1.65,460.9,753.1,1.63,"1,343.30","2,205.10",1.64
2017,February,804,"1,369.60",1.7,404,683.5,1.69,"1,208.00","2,053.10",1.7
2017,March,965,"1,590.90",1.65,481,792.7,1.65,"1,446.10","2,383.60",1.65
2017,April,919.2,"1,525.30",1.66,488.7,798.2,1.63,"1,408.00","2,323.50",1.65
2017,May,963.9,"1,544.50",1.6,523.2,839.9,1.61,"1,487.10","2,384.50",1.6
2017,June,"1,008.70","1,546.70",1.53,544.9,843.1,1.55,"1,553.60","2,389.80",1.54
2017,July,"1,037.50","1,610.90",1.55,573.6,883.8,1.54,"1,611.10","2,494.70",1.55
2017,August,"1,030.20","1,696.20",1.65,559.1,898.6,1.61,"1,589.30","2,594.80",1.63
2017,September,879.4,"1,589.10",1.81,494.3,857.1,1.73,"1,373.60","2,446.10",1.78
2017,October,953.4,"1,735.70",1.82,495.4,896.6,1.81,"1,448.90","2,632.30",1.82
2017,November,921.7,"1,726.60",1.87,448.8,831.6,1.85,"1,370.50","2,558.20",1.87
2017,December,975,"1,862.60",1.91,480.8,923.4,1.92,"1,455.80","2,785.90",1.91
2017 Total,,"11,340.40","19,250.00",1.7,"5,954.80","10,001.60",1.68,"17,295.30","29,251.60",1.69
% Chg over 2016,,1.55%,18.24%,16.44%,1.32%,19.43%,17.88%,1.47%,18.65%,16.93%
2018,January,910.7,"1,837.80",2.02,468.6,946.5,2.02,"1,379.30","2,784.30",2.02
2018,February,850.9,"1,721.20",2.02,416.4,852.6,2.05,"1,267.40","2,573.80",2.03
2018,March,990.3,"1,936.70",1.96,492.7,977.1,1.98,"1,483.00","2,913.90",1.96
2018,April,965,"2,005.50",2.08,489.7,"1,024.90",2.09,"1,454.80","3,030.40",2.08
2018,May,"1,011.80","2,209.90",2.18,531.3,"1,163.00",2.19,"1,543.10","3,372.80",2.19
2018,June,"1,038.60","2,288.30",2.2,548.5,"1,222.20",2.23,"1,587.20","3,510.50",2.21
2018,July,"1,078.40","2,365.10",2.19,575.8,"1,277.80",2.22,"1,654.20","3,643.00",2.2
2018,August,"1,071.10","2,349.20",2.19,559.5,"1,231.50",2.2,"1,630.60","3,580.70",2.2
2018,September,950.1,"2,104.80",2.22,503,"1,127.30",2.24,"1,453.10","3,232.10",2.22
2018,October,"1,003.80","2,350.70",2.34,501.4,"1,184.80",2.36,"1,505.20","3,535.40",2.35
2018,November,970.6,"2,186.10",2.25,450.6,"1,037.70",2.3,"1,421.20","3,223.90",2.27
2018,December,"1,006.70","2,047.30",2.03,482.6,"1,014.70",2.1,"1,489.20","3,062.00",2.06
2018 Total,,"11,848.20","25,402.70",2.14,"6,020.10","13,060.10",2.17,"17,868.30","38,462.80",2.15
